746,43,44,32,35,37,-2
747,221,190,157,207,212,-3
748,1146,1126,1254,1274,600,-137
749,382,399,551,453,289,-24
750,696,750,621,793,358,-85
751,0,3,4,0,1,0
752,129,47,20,31,157,7
753,6,3,10,11,3,-1
754,109,92,133,125,81,-7
755,278,325,575,338,264,-4
758,685,463,698,1120,955,67
759,419,388,355,487,560,35
760,795,482,752,2711,2457,415
762,351,496,330,574,599,62
768,635,353,338,290,490,-37
769,291,354,123,441,376,21
770,1041,879,409,562,756,-72
772,469,457,268,31,13,-114
773,106,145,138,175,78,-7
775,865,508,499,1386,831,-9
776,682,668,717,1279,784,25
777,4,6,8,6,10,1
778,9,10,0,4,8,-1
779,3,1,0,0,3,0
780,1,2,0,0,1,0
781,4,6,0,3,4,0
782,300,332,571,504,342,10
783,173,68,83,152,41,-33
784,1,2,6,20,4,0
785,18,80,39,32,35,4
786,154,165,117,153,88,-17
787,1,0,3,2,1,0
788,2,10,1,5,1,-1
789,0,4,5,1,0,0
790,15,1,1,2,0,-4
792,13,3,6,5,4,-3
793,21,17,4,20,55,8
794,143,100,120,200,98,-12
795,109,85,143,220,115,1
796,14,17,23,68,30,4
798,954,434,466,463,317,-160
801,251,232,197,343,233,-5
802,44,44,44,70,47,0
803,28,12,11,20,18,-3
805,14,14,2,27,17,0
806,38,33,28,30,34,-1
807,42,42,39,84,34,-2
810,81,71,83,53,91,2
812,10,10,11,17,9,-1
814,51,51,69,30,12,-10
815,0,0,1,1,0,0
817,43,60,91,48,4,-10
818,12,25,95,29,15,0
819,0,3,1,1,0,0
820,17,26,4,3,4,-4
821,471,609,712,753,514,10
822,571,497,623,228,584,3
823,4,7,3,3,4,0
824,228,202,228,137,123,-27
825,45,35,29,21,18,-7
826,2,3,1,0,0,-1
827,282,424,411,309,319,9
828,46,58,70,92,181,33
829,197,226,167,84,80,-30
839,280,186,289,431,550,67
840,352,284,324,459,501,37
841,391,354,348,399,619,57
842,702,691,331,368,513,-48
843,937,709,422,804,664,-69
844,85,91,41,187,169,21
845,125,161,143,429,219,23
846,1,2,8,10,24,5
847,18,59,28,105,147,32
849,3,2,10,0,1,-1
850,174,219,167,288,331,39
851,55,57,41,195,136,20
852,106,61,88,109,157,12
854,0,1,0,2,1,0
855,106,122,122,171,177,17
856,171,221,177,209,225,13
857,33,24,40,56,39,1
858,252,303,303,646,592,85
860,26,31,18,39,38,3
861,34,26,14,32,23,-3
862,182,219,172,167,215,8
863,259,159,176,166,113,-37
864,414,344,488,341,273,-36
865,403,331,478,331,265,-35
866,0,0,1,0,1,0
867,7,11,28,137,69,15
868,111,143,59,321,444,83
869,0,1,5,1,0,0
870,37,11,0,1,84,11
872,110,106,41,34,25,-22
873,26,26,9,4,12,-4
874,287,501,109,66,134,-39
875,144,61,73,69,46,-25
876,109,82,59,50,145,9
878,0,0,1,0,0,0
879,0,1,1,1,2,0
880,0,2,5,1,1,0
881,202,58,124,79,2,-50
882,155,79,55,4,3,-38
883,43,35,18,50,22,-6
884,1,1,2,3,0,-1
885,5,1,3,1,6,0
886,2,0,2,0,4,0
887,35,44,33,60,32,-1
888,52,97,9,11,32,-5
889,301,266,142,253,177,-31
890,449,263,249,201,186,-66
891,107,125,42,52,59,-12
892,132,151,96,129,28,-26
893,126,128,87,78,66,-15
894,20,34,15,15,9,-3
895,72,106,70,67,86,3
896,105,124,89,88,81,-6
897,36,33,37,16,15,-6
898,431,191,116,115,45,-97
899,363,222,238,251,182,-46
900,21,19,33,84,77,14
901,46,21,14,3,8,-10
902,6,5,21,43,50,11
903,55,37,42,88,107,13
904,92,55,65,34,23,-18
905,0,1,1,2,2,0
909,2,0,0,1,1,-1
934,68,29,3,2,2,-17
936,107,62,90,44,52,-14
937,2,3,1,1,21,4
938,695,790,1081,696,513,-46
939,205,105,156,133,136,-18
940,66,57,79,58,92,6
941,113,154,124,137,147,8
942,200,114,178,180,243,10
943,1324,1192,1620,1137,1084,-60
944,183,260,423,214,182,-1
945,357,422,749,391,411,13
947,0,0,0,2,0,0
948,204,344,515,430,363,39
949,575,467,545,365,411,-41
950,121,3,52,34,119,-1
951,207,96,53,83,99,-27
953,723,721,564,633,666,-15
954,410,477,366,298,325,-22
955,676,608,463,448,457,-55
956,735,716,702,608,643,-23
957,2015,1941,1616,1613,1669,-87
958,1130,1136,782,886,835,-74
959,842,764,494,386,324,-130
962,736,725,420,412,375,-91
963,1049,1156,881,939,932,-30
964,6361,6365,4755,4892,4784,-395
965,1363,1712,1235,1213,979,-96
966,262,183,155,310,297,8
969,419,540,505,563,456,9
970,102,172,128,199,239,34
971,145,243,120,256,196,12
973,1785,1911,1676,1963,1637,-37
976,3,5,6,3,2,-1
977,166,226,144,123,94,-18
978,240,163,198,211,104,-34
979,306,396,422,423,208,-25
980,500,428,374,356,201,-75
981,268,246,256,307,252,-4
983,770,381,391,426,345,-107
984,366,470,334,532,456,22
985,155,175,147,227,185,7
986,281,389,210,313,255,-7
987,483,684,507,706,660,44
988,465,531,378,568,392,-19
989,525,516,457,444,202,-81
990,294,256,191,226,148,-37
991,223,203,117,257,275,13
992,214,331,133,321,412,49
993,256,184,71,154,165,-23
994,144,147,93,158,152,2
995,69,110,57,142,140,17
997,387,482,334,435,451,16
998,85,166,12,22,98,3
999,200,241,161,219,219,4
1001,431,488,412,605,618,46
1002,616,735,641,738,739,30
1003,671,701,565,764,815,36
1004,493,508,476,518,871,94
1005,386,494,425,383,621,58
1007,447,531,486,502,577,32
1008,13316,14528,11833,14214,13875,139
1011,29,18,28,31,60,7
1013,381,334,597,664,824,110
1014,376,392,538,798,774,99
1015,370,288,613,643,527,39
1016,118,122,276,347,324,51
1017,508,217,677,725,428,-20
1018,308,309,505,210,283,-7
1019,301,279,386,304,376,18
1020,540,612,817,706,564,6
1021,936,543,569,483,399,-135
1022,539,493,643,748,711,43
1023,428,382,446,434,585,39
1024,292,208,230,259,379,21
1025,299,282,399,275,368,17
1026,159,151,181,229,126,-9
1027,65,50,178,84,113,12
1028,249,206,322,321,356,26
1029,331,320,406,475,514,45
